strategy,symbol,entry_date,expiration_date,spot_price,short_strike,long_strike,short_call_strike,long_call_strike,credit,max_loss,theoretical_pop,iv_rank,iv_at_entry,exit_price,pnl,won,reason
iron_condor,NVDA,2025-11-10,2025-12-23,199.05,180.0,175.0,225.0,230.0,1.825532215894432,317.4467784105568,0.5657342748408007,0.40219888019433353,0.49228436,189.21,182.5532215894432,True,Expired between short strikes
put_spread,NVDA,2025-11-11,2025-12-24,193.16,180.0,170.0,,,2.4213768979883517,757.8623102011649,0.6737702557558007,0.3632057076150081,0.47477478,188.61,242.13768979883517,True,Expired OTM
iron_condor,NVDA,2025-11-17,2025-12-31,186.6,170.0,165.0,215.0,220.0,1.8695832436402018,313.0416756359798,0.5556390167500412,0.4655495407781273,0.52073148,186.5,186.95832436402017,True,Expired between short strikes
put_spread,NVDA,2025-11-18,2026-01-02,181.36,165.0,155.0,,,2.214414140330841,778.5585859669159,0.7021069769170978,0.5133453604137874,0.54219382,188.85,221.44141403308407,True,Expired OTM
put_spread,MSFT,2025-11-20,2026-01-06,478.43,460.0,440.0,,,4.316722272883111,1568.3277727116888,0.6759106913300907,0.3364099155325427,0.27631168,478.51,431.6722272883111,True,Expired OTM
iron_condor,MSFT,2025-11-20,2026-01-06,478.43,450.0,440.0,520.0,530.0,2.921133724469682,707.8866275530319,0.6309008167797566,0.3364099155325427,0.27631168,478.51,292.1133724469682,True,Expired between short strikes
