strategy,symbol,entry_date,expiration_date,spot_price,short_strike,long_strike,short_call_strike,long_call_strike,credit,max_loss,theoretical_pop,iv_rank,iv_at_entry,exit_price,pnl,won,reason
iron_condor,NVDA,2025-11-10,2025-12-23,199.05,180.0,175.0,225.0,230.0,1.825532215894432,317.4467784105568,0.5657342748408007,0.40219888019433353,0.49228436,189.21,182.5532215894432,True,Expired between short strikes
iron_condor,LULU,2025-11-10,2025-12-23,170.35,160.0,155.0,190.0,195.0,2.872356060694157,212.76439393058428,0.3512432647696319,0.7699412550104454,0.64253658,212.68,-212.76439393058428,False,Call side max loss
iron_condor,AVGO,2025-11-10,2025-12-23,358.39,320.0,310.0,410.0,420.0,3.5161316938768774,648.3868306123122,0.5866488239320096,0.45071201001206035,0.52282692,349.32,351.6131693876877,True,Expired between short strikes
iron_condor,BMY,2025-11-10,2025-12-23,47.26,44.0,43.0,52.0,53.0,0.2370411559401005,76.29588440598995,0.6217786566295938,0.37573194620517175,0.32558616,54.28,-76.29588440598995,False,Call side max loss
iron_condor,NEM,2025-11-10,2025-12-23,88.26,80.0,75.0,100.0,105.0,1.2215423185615464,377.84576814384536,0.6299553147880974,0.420581905940928,0.42796086,105.25,-377.84576814384536,False,Call side max loss
iron_condor,STZ,2025-11-10,2025-12-23,128.47,120.0,115.0,140.0,145.0,1.53322615231356,346.677384768644,0.5693821960533793,0.3461988837532185,0.33779365,139.23,153.322615231356,True,Expired between short strikes
iron_condor,BBY,2025-11-10,2025-12-23,78.15,70.0,67.5,90.0,92.5,0.6823064334298331,181.76935665701671,0.6338572471245066,0.4451544453583449,0.47707658,69.58,26.23064334298314,True,Put side partial loss
iron_condor,NTAP,2025-11-10,2025-12-23,112.5,105.0,100.0,125.0,130.0,1.8652503419466289,313.4749658053371,0.5052595557059673,0.47494024208397945,0.43585049,109.84,186.52503419466288,True,Expired between short strikes
iron_condor,ADBE,2025-11-10,2025-12-23,328.85,310.0,300.0,360.0,370.0,4.7948337204235525,520.5166279576448,0.4331554988313213,0.6715182808550316,0.44750238,352.42,479.48337204235526,True,Expired between short strikes
iron_condor,INCY,2025-11-10,2025-12-23,105.98,100.0,95.0,120.0,125.0,2.411901675894727,258.8098324105273,0.406714394865702,0.862474612242683,0.57197439,100.91,241.1901675894727,True,Expired between short strikes
iron_condor,MOH,2025-11-10,2025-12-23,140.9,125.0,120.0,160.0,165.0,1.4864469413686958,351.3553058631304,0.6200199915892661,0.3826013486177327,0.48812524,164.02,-253.35530586313143,False,Call side partial loss
iron_condor,CLX,2025-11-10,2025-12-23,104.69,100.0,95.0,115.0,120.0,1.182237331784206,381.7762668215794,0.6030199679221092,0.4095668622006055,0.27108897,97.43,-138.7762668215787,False,Put side partial loss
iron_condor,FDS,2025-11-10,2025-12-23,265.09,250.0,240.0,290.0,300.0,4.529721014788519,547.0278985211481,0.4410112601113437,0.9291716189083329,0.43527901,290.88,364.9721014788524,True,Call side partial loss
iron_condor,HPQ,2025-11-10,2025-12-23,25.29,23.0,22.0,28.0,29.0,0.2503014224898848,74.96985775101153,0.5813323739951525,0.3785724055214657,0.42253178,22.93,18.03014224898845,True,Put side partial loss
iron_condor,CHTR,2025-11-10,2025-12-23,210.45,190.0,180.0,240.0,250.0,2.8746706871318697,712.532931286813,0.6131623527296388,0.4242465961529562,0.46359913,205.28,287.46706871318696,True,Expired between short strikes
iron_condor,CMCSA,2025-11-10,2025-12-23,25.41,24.0,23.0,28.0,29.0,0.22509498330885297,77.4905016691147,0.5827876580966053,0.44832071285345015,0.32015707,27.52,22.509498330885297,True,Expired between short strikes
iron_condor,CL,2025-11-10,2025-12-23,78.47,75.0,70.0,85.0,90.0,0.691361769267132,430.86382307328677,0.6628182732609373,0.3040813300079291,0.21692515,79.93,69.1361769267132,True,Expired between short strikes
iron_condor,ACN,2025-11-10,2025-12-23,244.55,230.0,220.0,260.0,270.0,3.8422437284062223,615.7756271593778,0.47985012425717954,0.558889134638705,0.33211058,270.77,-615.7756271593778,False,Call side max loss
iron_condor,CPB,2025-11-10,2025-12-23,30.64,29.0,28.0,33.0,34.0,0.3043904618073903,69.56095381926097,0.510843524172084,0.41713828012999,0.32217314,27.68,-69.56095381926097,False,Put side max loss
iron_condor,KR,2025-11-10,2025-12-23,64.44,60.0,57.5,70.0,72.5,0.7327372683091858,176.72627316908142,0.5679307066530235,0.8473702369117496,0.34023833,62.3,73.27372683091859,True,Expired between short strikes
iron_condor,BIIB,2025-11-10,2025-12-23,156.26,145.0,140.0,170.0,175.0,2.196714028694883,280.3285971305117,0.4636789406167271,0.5093125379706258,0.44632766,174.82,-262.328597130511,False,Call side partial loss
