entry_date,expiration,exit_date,spot,vix,iv_rank,iv_tier,short_delta,put_delta,call_delta,call_delta_offset,long_put,short_put,short_call,long_call,credit,max_loss,pnl,won,exit_reason,side_breached,put_width,call_width,data_source,dte
2020-02-24,2020-03-25,2020-03-12,295.4538879394531,25.030000686645508,1.0,very_high,0.3,0.3,0.25,-0.05,277.0,286.0,312.0,321.0,2.29,671.0,-692.0,False,stop_loss,put,9.0,9.0,thetadata,30
2020-03-16,2020-04-15,2020-04-01,219.78976440429688,82.69000244140625,1.0,very_high,0.3,0.3,0.25,-0.05,190.0,200.0,268.0,275.0,3.71,629.0,226.0,True,take_profit,,10.0,7.0,thetadata,30
2020-03-23,2020-04-22,2020-03-26,205.50457763671875,61.59000015258789,0.7034,very_high,0.3,0.3,0.25,-0.05,185.0,190.0,236.0,242.0,2.67,333.0,-303.0,False,stop_loss,call,5.0,6.0,thetadata,30
2020-04-06,2020-05-06,2020-04-29,244.1352081298828,45.2400016784668,0.4736,medium,0.2,0.2,0.15,-0.05,215.0,220.0,282.0,289.0,0.17,683.0,-572.0,False,stop_loss,,5.0,7.0,thetadata,30
2020-04-14,2020-05-13,2020-04-21,261.5839538574219,37.7599983215332,0.3685,medium,0.2,0.2,0.15,-0.05,235.0,240.0,294.0,302.0,4.41,359.0,238.0,True,take_profit,,5.0,8.0,thetadata,29
2020-04-21,2020-05-20,2020-05-13,251.67514038085938,45.40999984741211,0.476,medium,0.2,0.2,0.15,-0.05,220.0,230.0,291.0,299.0,2.96,704.0,204.0,True,take_profit,,10.0,8.0,thetadata,29
2020-04-28,2020-05-27,2020-05-13,263.3721923828125,33.56999969482422,0.3096,medium,0.2,0.2,0.15,-0.05,235.0,245.0,294.0,302.0,3.43,657.0,207.0,True,take_profit,,10.0,8.0,thetadata,29
2020-05-05,2020-06-03,2020-06-03,263.796142578125,33.61000061035156,0.3102,medium,0.2,0.2,0.15,-0.05,235.0,245.0,295.0,303.0,3.17,683.0,317.0,True,expiration,,10.0,8.0,thetadata,29
2020-05-12,2020-06-10,2020-06-02,264.23858642578125,33.040000915527344,0.3022,medium,0.2,0.2,0.15,-0.05,240.0,245.0,293.0,301.0,3.17,483.0,-393.0,False,stop_loss,,5.0,8.0,thetadata,29
2020-06-17,2020-07-17,2020-06-26,287.2732238769531,33.470001220703125,0.3082,medium,0.2,0.2,0.15,-0.05,258.0,267.0,321.0,330.0,3.19,581.0,200.0,True,take_profit,,9.0,9.0,thetadata,30
2020-06-24,2020-07-24,2020-07-21,281.529052734375,33.84000015258789,0.3134,medium,0.2,0.2,0.15,-0.05,255.0,260.0,315.0,323.0,2.95,505.0,-387.0,False,stop_loss,,5.0,8.0,thetadata,30
2020-09-03,2020-10-02,2020-09-22,319.7649230957031,33.599998474121094,0.31,medium,0.2,0.2,0.15,-0.05,287.0,297.0,357.0,367.0,2.49,751.0,230.0,True,take_profit,,10.0,10.0,thetadata,29
2020-10-30,2020-11-30,2020-11-24,303.5235595703125,38.02000045776367,0.3722,medium,0.2,0.2,0.15,-0.05,270.0,280.0,344.0,353.0,2.97,703.0,-604.0,False,stop_loss,,10.0,9.0,thetadata,31
2021-09-30,2021-10-29,2021-10-19,404.5107421875,23.139999389648438,0.3201,medium,0.2,0.2,0.15,-0.05,375.0,386.0,436.0,448.0,4.38,762.0,-624.0,False,stop_loss,,11.0,12.0,thetadata,29
2021-11-26,2021-12-27,2021-12-20,432.6286926269531,28.6200008392334,0.6131,high,0.25,0.25,0.2,-0.05,400.0,412.0,466.0,479.0,2.96,1004.0,219.0,True,take_profit,,12.0,13.0,thetadata,31
2021-12-03,2022-01-03,2021-12-27,427.3972473144531,30.670000076293945,0.7054,very_high,0.3,0.3,0.25,-0.05,400.0,410.0,457.0,470.0,6.41,659.0,-614.0,False,stop_loss,,10.0,13.0,thetadata,31
