entry_date,expiration,exit_date,spot,vix,iv_rank,iv_tier,short_delta,put_delta,call_delta,call_delta_offset,long_put,short_put,short_call,long_call,credit,max_loss,pnl,won,exit_reason,side_breached,put_width,call_width,data_source,dte
2020-02-24,2020-03-25,2020-03-12,295.4538879394531,25.030000686645508,1.0,very_high,0.3,0.3,0.27,-0.03,277.0,286.0,310.0,319.0,2.5,650.0,-670.0,False,stop_loss,put,9.0,9.0,thetadata,30
2020-03-16,2020-04-15,2020-04-03,219.78976440429688,82.69000244140625,1.0,very_high,0.3,0.3,0.27,-0.03,190.0,200.0,261.0,268.0,4.01,599.0,244.0,True,take_profit,,10.0,7.0,thetadata,30
2020-03-23,2020-04-22,2020-03-26,205.50457763671875,61.59000015258789,0.7034,very_high,0.3,0.3,0.27,-0.03,185.0,190.0,234.0,240.0,2.83,317.0,-295.0,False,stop_loss,call,5.0,6.0,thetadata,30
2020-03-30,2020-04-29,2020-04-27,241.17640686035156,57.08000183105469,0.6401,high,0.25,0.25,0.22,-0.03,215.0,220.0,279.0,286.0,1.22,578.0,-438.0,False,stop_loss,,5.0,7.0,thetadata,30
2020-04-06,2020-05-06,2020-04-29,244.1352081298828,45.2400016784668,0.4736,medium,0.2,0.2,0.17,-0.03,215.0,220.0,278.0,285.0,2.99,401.0,-336.0,False,stop_loss,,5.0,7.0,thetadata,30
2020-04-14,2020-05-13,2020-05-04,261.5839538574219,37.7599983215332,0.3685,medium,0.2,0.2,0.17,-0.03,235.0,240.0,292.0,300.0,3.34,466.0,209.0,True,take_profit,,5.0,8.0,thetadata,29
2020-04-21,2020-05-20,2020-05-13,251.67514038085938,45.40999984741211,0.476,medium,0.2,0.2,0.17,-0.03,220.0,230.0,289.0,297.0,3.25,675.0,185.0,True,take_profit,,10.0,8.0,thetadata,29
2020-04-28,2020-05-27,2020-05-13,263.3721923828125,33.56999969482422,0.3096,medium,0.2,0.2,0.17,-0.03,235.0,245.0,292.0,300.0,3.84,616.0,205.0,True,take_profit,,10.0,8.0,thetadata,29
2020-05-05,2020-06-03,2020-06-03,263.796142578125,33.61000061035156,0.3102,medium,0.2,0.2,0.17,-0.03,235.0,245.0,293.0,301.0,3.58,642.0,358.0,True,expiration,,10.0,8.0,thetadata,29
2020-05-12,2020-06-10,2020-06-01,264.23858642578125,33.040000915527344,0.3022,medium,0.2,0.2,0.17,-0.03,240.0,245.0,291.0,299.0,3.57,443.0,-335.0,False,stop_loss,,5.0,8.0,thetadata,29
2020-06-17,2020-07-17,2020-06-26,287.2732238769531,33.470001220703125,0.3082,medium,0.2,0.2,0.17,-0.03,258.0,267.0,319.0,328.0,3.6,540.0,217.0,True,take_profit,,9.0,9.0,thetadata,30
2020-06-24,2020-07-24,2020-07-20,281.529052734375,33.84000015258789,0.3134,medium,0.2,0.2,0.17,-0.03,255.0,260.0,312.0,320.0,3.53,447.0,-367.0,False,stop_loss,,5.0,8.0,thetadata,30
2020-09-03,2020-10-02,2020-09-22,319.7649230957031,33.599998474121094,0.31,medium,0.2,0.2,0.17,-0.03,287.0,297.0,355.0,365.0,2.92,708.0,271.0,True,take_profit,,10.0,10.0,thetadata,29
2020-10-30,2020-11-30,2020-11-16,303.5235595703125,38.02000045776367,0.3722,medium,0.2,0.2,0.17,-0.03,270.0,280.0,341.0,350.0,3.5,650.0,-503.0,False,stop_loss,,10.0,9.0,thetadata,31
2021-09-30,2021-10-29,2021-10-19,404.5107421875,23.139999389648438,0.3201,medium,0.2,0.2,0.17,-0.03,375.0,386.0,433.0,445.0,5.35,665.0,-575.0,False,stop_loss,,11.0,12.0,thetadata,29
2021-11-26,2021-12-27,2021-12-20,432.6286926269531,28.6200008392334,0.6131,high,0.25,0.25,0.22,-0.03,400.0,412.0,465.0,478.0,2.19,1081.0,123.0,True,take_profit,,12.0,13.0,thetadata,31
2021-12-03,2022-01-03,2021-12-27,427.3972473144531,30.670000076293945,0.7054,very_high,0.3,0.3,0.27,-0.03,400.0,410.0,454.0,467.0,7.18,582.0,-565.0,False,stop_loss,,10.0,13.0,thetadata,31
2022-02-01,2022-03-02,2022-02-11,428.4542236328125,21.959999084472656,0.41,medium,0.2,0.2,0.17,-0.03,395.0,408.0,459.0,472.0,4.86,814.0,243.0,True,take_profit,,13.0,13.0,thetadata,29
