combo_id,underlying,strategy_type,width_pct,tp_pct,sl_mult,entry_date,expiration_date,exit_date,dte,short_strike,long_strike,spot_at_entry,credit,max_loss,exit_cost,pnl,exit_reason,iv_at_entry,iv_rank_at_entry,has_real_quote,short_ticker,long_ticker
DIA_2022-01-03_PUT_5pct_TP50_SL100,DIA,PUT,0.05,0.5,1.0,2022-01-03,2022-02-04,2022-01-18,32,357.0,339.0,365.68,2.21,1579.0,5.87,-366.0,stop_loss,0.14285431508151158,0.5940376301039453,False,O:DIA220204P00357000,O:DIA220204P00339000
DIA_2022-01-03_PUT_5pct_TP50_SL200,DIA,PUT,0.05,0.5,2.0,2022-01-03,2022-02-04,2022-01-20,32,357.0,339.0,365.68,2.21,1579.0,7.05,-484.0,stop_loss,0.14285431508151158,0.5940376301039453,False,O:DIA220204P00357000,O:DIA220204P00339000
DIA_2022-01-03_PUT_5pct_TP75_SL100,DIA,PUT,0.05,0.75,1.0,2022-01-03,2022-02-04,2022-01-18,32,357.0,339.0,365.68,2.21,1579.0,5.87,-366.0,stop_loss,0.14285431508151158,0.5940376301039453,False,O:DIA220204P00357000,O:DIA220204P00339000
DIA_2022-01-03_PUT_5pct_TP75_SL200,DIA,PUT,0.05,0.75,2.0,2022-01-03,2022-02-04,2022-01-20,32,357.0,339.0,365.68,2.21,1579.0,7.05,-484.0,stop_loss,0.14285431508151158,0.5940376301039453,False,O:DIA220204P00357000,O:DIA220204P00339000
IWM_2022-01-03_PUT_10pct_TP50_SL100,IWM,PUT,0.1,0.5,1.0,2022-01-03,2022-02-07,2022-01-07,35,217.0,195.0,225.32,2.43,1957.0,4.99,-256.0,stop_loss,0.22933652874992416,0.5146402929065477,False,O:IWM220207P00217000,O:IWM220207P00195000
IWM_2022-01-03_PUT_10pct_TP50_SL200,IWM,PUT,0.1,0.5,2.0,2022-01-03,2022-02-07,2022-01-18,35,217.0,195.0,225.32,2.43,1957.0,7.79,-536.0,stop_loss,0.22933652874992416,0.5146402929065477,False,O:IWM220207P00217000,O:IWM220207P00195000
IWM_2022-01-03_PUT_10pct_TP75_SL100,IWM,PUT,0.1,0.75,1.0,2022-01-03,2022-02-07,2022-01-07,35,217.0,195.0,225.32,2.43,1957.0,4.99,-256.0,stop_loss,0.22933652874992416,0.5146402929065477,False,O:IWM220207P00217000,O:IWM220207P00195000
IWM_2022-01-03_PUT_10pct_TP75_SL200,IWM,PUT,0.1,0.75,2.0,2022-01-03,2022-02-07,2022-01-18,35,217.0,195.0,225.32,2.43,1957.0,7.79,-536.0,stop_loss,0.22933652874992416,0.5146402929065477,False,O:IWM220207P00217000,O:IWM220207P00195000
IWM_2022-01-03_PUT_5pct_TP50_SL100,IWM,PUT,0.05,0.5,1.0,2022-01-03,2022-02-07,2022-01-05,35,217.0,206.0,225.32,1.6,940.0,3.34,-174.0,stop_loss,0.22933652874992416,0.5146402929065477,False,O:IWM220207P00217000,O:IWM220207P00206000
IWM_2022-01-03_PUT_5pct_TP50_SL200,IWM,PUT,0.05,0.5,2.0,2022-01-03,2022-02-07,2022-01-18,35,217.0,206.0,225.32,1.6,940.0,5.27,-367.0,stop_loss,0.22933652874992416,0.5146402929065477,False,O:IWM220207P00217000,O:IWM220207P00206000
