entry_date,entry_trailing_12m_return,pnl_pct,pnl_dollar
2015-03-02,0.22422821552328132,0.06623470122390218,92.0
2015-03-03,0.22762502876530744,0.09572301425661922,141.0
2015-03-04,0.20753677415224026,0.07049067035245327,102.0
2015-03-05,0.20633213857921073,0.07201646090534974,105.0
2015-03-23,0.23063415882141958,-0.030367231638418035,-43.0
2015-03-24,0.23704503400273813,0.11174785100286533,156.0
2015-03-25,0.20477462047967188,0.20854922279792754,322.0
2015-03-26,0.21632817383786973,0.2891246684350133,436.0000000000002
2015-03-27,0.22807560889300427,0.27137305699481873,419.0
2015-03-30,0.23973277211623967,0.17331499312242094,251.99999999999977
2015-03-31,0.21793242981043948,0.22966818477553663,352.9999999999998
2015-04-01,0.19067399420338527,0.20582395764394446,311.0
2015-04-02,0.1884033739574842,0.04949832775919738,74.0
2015-04-20,0.2621628991430076,0.1452397498262683,209.0
2015-04-21,0.2582172038342829,0.2131809011432415,317.0
2015-04-22,0.255114021881391,0.261938202247191,373.0
2015-04-23,0.2710311060240824,0.25087596355991604,358.0000000000002
2015-04-24,0.2760725300645104,0.1700489853044087,243.0
2015-04-27,0.2935146904079564,0.10424966799468782,157.0
2015-04-28,0.2867537055890952,0.12155809267965068,181.0
2015-04-29,0.2685622805138179,0.029940119760479167,45.0
2015-04-30,0.24532270488307328,0.11994516792323506,175.0
2015-05-01,0.2580093940269004,0.09708078750848603,143.0
2015-05-05,0.23532428498735292,0.2509829619921362,383.0
2015-05-06,0.24292722804882283,0.2838626053143227,437.9999999999998
2015-06-02,0.22008265447314646,-0.46965517241379307,-681.0
2015-06-24,0.20177556054287527,-0.5042553191489361,-711.0
2015-06-25,0.19179127351430192,-0.474679270762998,-703.0
2015-06-29,0.1502571202707521,-0.27616645649432525,-438.0
2015-06-30,0.15238724584119923,-0.28518057285180565,-457.9999999999998
2015-07-20,0.19855385949696447,-0.5948683322079675,-881.0
2015-07-22,0.17824602762327002,-0.5552505147563487,-809.0
2015-07-24,0.15623987657294558,-0.49073482428115023,-768.0
2015-07-28,0.16073539805230408,-0.4735799207397623,-717.0
2015-08-05,0.19945473785721357,-0.520292747837658,-782.0
2015-08-06,0.18109452990821273,-0.43138542350623765,-657.0
2015-08-07,0.18335355378581375,-0.3979656706929434,-625.9999999999999
2015-08-10,0.18829390136174173,-0.4590058102001291,-710.9999999999999
2015-08-12,0.17069582098880898,-0.42165605095541403,-662.0
2015-08-13,0.15654696340605545,-0.39488817891373795,-617.9999999999999
2015-08-14,0.15235348306135688,-0.4157014157014156,-646.0
2015-08-20,0.09656357518929237,-0.24481327800829877,-413.0
2015-09-16,0.08916202103321269,-0.170826400443705,-308.0
2015-09-17,0.08792662328296585,-0.14620217018846382,-256.0000000000002
2015-10-22,0.15072224029248105,-0.4121212121212121,-680.0000000000001
2015-10-23,0.1653874305518772,-0.48659003831417635,-762.0000000000001
2015-10-26,0.156651262764131,-0.4898477157360407,-772.0000000000001
