Symbol,Company Name,SA Quant Rating
IBDRY,"Iberdrola, S.A.",4.78
HG,"Hamilton Insurance Group, Ltd.",4.78
ERIC,Telefonaktiebolaget LM Ericsson (publ),4.78
CTRN,"Citi Trends, Inc.",4.77
NMR,"Nomura Holdings, Inc.",4.77
IBDSF,"Iberdrola, S.A.",4.77
RFIL,"RF Industries, Ltd.",4.77
THR,"Thermon Group Holdings, Inc.",4.77
CMC,Commercial Metals Company,4.77
DY,"Dycom Industries, Inc.",4.77
RYN,Rayonier Inc.,4.76
SVNLY,Svenska Handelsbanken AB (publ),4.76
ECO,Okeanis Eco Tankers Corp.,4.76
DBVT,DBV Technologies S.A.,4.76
EBS,Emergent BioSolutions Inc.,4.76
CYD,China Yuchai International Limited,4.76
ARGX,argenx SE,4.76
GMED,"Globus Medical, Inc.",4.75
GLDD,Great Lakes Dredge & Dock Corporation,4.75
SSSS,SuRo Capital Corp.,4.75
MATX,"Matson, Inc.",4.75
MG,"Mistras Group, Inc.",4.75
VRTX,Vertex Pharmaceuticals Incorporated,4.75
FN,Fabrinet,4.75
PRIM,Primoris Services Corporation,4.74
VLVLY,AB Volvo (publ),4.74
GAU,Galiano Gold Inc.,4.74
UVE,"Universal Insurance Holdings, Inc.",4.74
SDVKY,Sandvik AB (publ),4.74
AIR,AAR Corp.,4.74
UBS,UBS Group AG,4.74
LUXE,LuxExperience B.V.,4.73
AAL,American Airlines Group Inc.,4.73
CM,Canadian Imperial Bank of Commerce,4.73
PTCT,"PTC Therapeutics, Inc.",4.73
GTX,Garrett Motion Inc.,4.73
KALU,Kaiser Aluminum Corporation,4.73
JLL,Jones Lang LaSalle Incorporated,4.73
PBF,PBF Energy Inc.,4.72
FRO,Frontline plc,4.72
TIGO,Millicom International Cellular S.A.,4.72
ATI,ATI Inc.,4.72
SANM,Sanmina Corporation,4.72
SQM,Sociedad Quimica y Minera de Chile S.A.,4.72
KGFHY,Kingfisher plc,4.72
ALLT,Allot Ltd.,4.71
AUPH,Aurinia Pharmaceuticals Inc.,4.71
EHAB,"Enhabit, Inc.",4.71
IONS,"Ionis Pharmaceuticals, Inc.",4.71
CVX,Chevron Corporation,4.71
BFLY,"Butterfly Network, Inc.",4.71
FIVE,"Five Below, Inc.",4.70
CMI,Cummins Inc.,4.70
VXRT,"Vaxart, Inc.",4.70
GCT,GigaCloud Technology Inc.,4.70
INVA,"Innoviva, Inc.",4.70
RERE,ATRenew Inc.,4.70
HIG,"The Hartford Insurance Group, Inc.",4.70
FSLY,"Fastly, Inc.",4.69
FFIC,Flushing Financial Corporation,4.69
GSL,"Global Ship Lease, Inc.",4.69
FBIO,"Fortress Biotech, Inc.",4.69
FLS,Flowserve Corporation,4.69
HHH,Howard Hughes Holdings Inc.,4.69
ZUMZ,Zumiez Inc.,4.69
OMF,"OneMain Holdings, Inc.",4.68
PNC,"The PNC Financial Services Group, Inc.",4.68
AER,AerCap Holdings N.V.,4.68
TECK,Teck Resources Limited,4.68
NGG,National Grid plc,4.68
EBMT,"Eagle Bancorp Montana, Inc.",4.68
NUVB,Nuvation Bio Inc.,4.68
KPLUY,K+S Aktiengesellschaft,4.67
FSRL,"First Reliance Bancshares, Inc.",4.67
AENT,Alliance Entertainment Holding Corporation,4.67
STRL,"Sterling Infrastructure, Inc.",4.67
MTZ,"MasTec, Inc.",4.67
BIP,Brookfield Infrastructure Partners L.P.,4.67
TGTX,"TG Therapeutics, Inc.",4.66
MYRG,MYR Group Inc.,4.66
IESC,"IES Holdings, Inc.",4.66
GAP,"The Gap, Inc.",4.66
KEY,KeyCorp,4.66
EXEL,"Exelixis, Inc.",4.66
DAWN,"Day One Biopharmaceuticals, Inc.",4.66
FUTU,Futu Holdings Limited,4.65
UPWK,Upwork Inc.,4.65
CENX,Century Aluminum Company,4.65
MCY,Mercury General Corporation,4.65
NHI,"National Health Investors, Inc.",4.65
ALGT,Allegiant Travel Company,4.65
TMP,Tompkins Financial Corporation,4.65
OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",4.64
CWEN,"Clearway Energy, Inc.",4.64
ESTA,Establishment Labs Holdings Inc.,4.64
TALO,Talos Energy Inc.,4.64
EADSY,Airbus SE,4.64
IDEXY,"Industria de Diseno Textil, S.A.",4.64
BHRB,Burke & Herbert Financial Services Corp.,4.64
YTRA,"Yatra Online, Inc.",4.63
EVER,"EverQuote, Inc.",4.63
PAA,"Plains All American Pipeline, L.P.",4.63
THG,"The Hanover Insurance Group, Inc.",4.63
FHN,First Horizon Corporation,4.63
OII,"Oceaneering International, Inc.",4.63
PSX,Phillips 66,4.62
PSMMY,Persimmon Plc,4.62
ROIV,Roivant Sciences Ltd.,4.62
DBD,"Diebold Nixdorf, Incorporated",4.62
NWPX,"NWPX Infrastructure, Inc.",4.62
DDI,"DoubleDown Interactive Co., Ltd.",4.62
HTBK,Heritage Commerce Corp,4.62
CWEN.A,"Clearway Energy, Inc.",4.61
SOHU,Sohu.com Limited,4.61
DLTR,"Dollar Tree, Inc.",4.61
HST,"Host Hotels & Resorts, Inc.",4.61
SIMO,Silicon Motion Technology Corporation,4.61
BNS,The Bank of Nova Scotia,4.61
ONTO,Onto Innovation Inc.,4.61
AGESY,ageas SA/NV,4.61
SFD,"Smithfield Foods, Inc.",4.60
DELL,Dell Technologies Inc.,4.60
CSIQ,Canadian Solar Inc.,4.60
HASI,"HA Sustainable Infrastructure Capital, Inc.",4.60
FANUY,Fanuc Corporation,4.60
ACTG,Acacia Research Corporation,4.60
CUBI,"Customers Bancorp, Inc.",4.59
DBSDY,DBS Group Holdings Ltd,4.59
REVG,"REV Group, Inc.",4.59
CFG,"Citizens Financial Group, Inc.",4.59
GPRE,Green Plains Inc.,4.59
SEZL,Sezzle Inc.,4.59
VTOL,Bristow Group Inc.,4.59
CTVA,"Corteva, Inc.",4.58
ABX,"Abacus Global Management, Inc.",4.58
BDTX,"Black Diamond Therapeutics, Inc.",4.58
GHC,Graham Holdings Company,4.58
GILD,"Gilead Sciences, Inc.",4.58
BKU,"BankUnited, Inc.",4.58
HTHIY,"Hitachi, Ltd.",4.57
AIZ,"Assurant, Inc.",4.57
OHI,"Omega Healthcare Investors, Inc.",4.57
SGHT,"Sight Sciences, Inc.",4.57
NTIOF,National Bank of Canada,4.57
PATK,"Patrick Industries, Inc.",4.57
CZNC,Citizens & Northern Corporation,4.57
BOH,Bank of Hawaii Corporation,4.57
TLS,Telos Corporation,4.56
BWA,BorgWarner Inc.,4.56
MAGN,Magnera Corporation,4.56
KROS,"Keros Therapeutics, Inc.",4.56
CDNA,"CareDx, Inc.",4.56
TILE,"Interface, Inc.",4.56
GDS,GDS Holdings Limited,4.55
PPIH,"Perma-Pipe International Holdings, Inc.",4.55
CLMT,"Calumet, Inc.",4.55
CAPR,"Capricor Therapeutics, Inc.",4.55
OTSKY,"Otsuka Holdings Co., Ltd.",4.55
STLD,"Steel Dynamics, Inc.",4.55
BAP,Credicorp Ltd.,4.55
AROW,Arrow Financial Corporation,4.54
VAL,Valaris Limited,4.54
ARQT,"Arcutis Biotherapeutics, Inc.",4.54
III,"Information Services Group, Inc.",4.54
OPLN,"OPENLANE, Inc.",4.54
CAC,Camden National Corporation,4.54
AHEXY,Adecco Group AG,4.53
PINE,"Alpine Income Property Trust, Inc.",4.53
ELUXY,AB Electrolux (publ),4.53
CNOB,"ConnectOne Bancorp, Inc.",4.53
DAKT,"Daktronics, Inc.",4.53
JHG,Janus Henderson Group plc,4.53
SILC,Silicom Ltd.,4.53
SMP,"Standard Motor Products, Inc.",4.53
MT,ArcelorMittal S.A.,4.52
CTTAY,Continental Aktiengesellschaft,4.52
MRBK,Meridian Corporation,4.52
ENLAY,Enel SpA,4.52
IBEX,IBEX Limited,4.52
BYDDY,BYD Company Limited,4.52
FRFHF,Fairfax Financial Holdings Limited,4.51
TVTX,"Travere Therapeutics, Inc.",4.51
STEL,"Stellar Bancorp, Inc.",4.51
PUMP,ProPetro Holding Corp.,4.51
LTH,"Life Time Group Holdings, Inc.",4.51
JBL,Jabil Inc.,4.51
BWFG,"Bankwell Financial Group, Inc.",4.51
THFF,First Financial Corporation,4.50
HTHT,H World Group Limited,4.50
ATLKY,Atlas Copco AB (publ),4.50
ATRC,"AtriCure, Inc.",4.50
NWFL,Norwood Financial Corp.,4.50
HURN,Huron Consulting Group Inc.,4.50
CDP,COPT Defense Properties,4.50
FUJIY,FUJIFILM Holdings Corporation,4.50
